id,cat3
TEST_00000,한식
TEST_00001,유명건물
TEST_00002,한식
TEST_00003,수련시설
TEST_00004,산
TEST_00005,한식
TEST_00006,바/까페
TEST_00007,한식
TEST_00008,성
TEST_00009,상설시장
TEST_00010,문화원
TEST_00011,상설시장
TEST_00012,농.산.어촌 체험
TEST_00013,사찰
TEST_00014,한식
TEST_00015,서양식
TEST_00016,5일장
TEST_00017,해수욕장
TEST_00018,폭포
TEST_00019,공연장
TEST_00020,한옥스테이
TEST_00021,해수욕장
TEST_00022,"야영장,오토캠핑장"
TEST_00023,트래킹
TEST_00024,게스트하우스
TEST_00025,해안절경
TEST_00026,일반축제
TEST_00027,중식
TEST_00028,패밀리레스토랑
TEST_00029,"공예,공방"
TEST_00030,유명건물
TEST_00031,성
TEST_00032,"야영장,오토캠핑장"
TEST_00033,한식
TEST_00034,농.산.어촌 체험
TEST_00035,박물관
TEST_00036,사찰
TEST_00037,전문상가
TEST_00038,"야영장,오토캠핑장"
TEST_00039,도서관
TEST_00040,산
TEST_00041,등대
TEST_00042,게스트하우스
TEST_00043,"야영장,오토캠핑장"
TEST_00044,"야영장,오토캠핑장"
TEST_00045,박물관
TEST_00046,계곡
TEST_00047,바/까페
TEST_00048,한식
TEST_00049,"공예,공방"
TEST_00050,모텔
TEST_00051,한식
TEST_00052,한식
TEST_00053,기념관
TEST_00054,콘도미니엄
TEST_00055,"야영장,오토캠핑장"
TEST_00056,상설시장
TEST_00057,바/까페
TEST_00058,수련시설
TEST_00059,유적지/사적지
TEST_00060,박물관
TEST_00061,한식
TEST_00062,한옥스테이
TEST_00063,펜션
TEST_00064,한식
TEST_00065,바/까페
TEST_00066,계곡
TEST_00067,유적지/사적지
TEST_00068,사찰
TEST_00069,바/까페
TEST_00070,수상레포츠
TEST_00071,복합 레포츠
TEST_00072,계곡
TEST_00073,고궁
TEST_00074,"야영장,오토캠핑장"
TEST_00075,바/까페
TEST_00076,유원지
TEST_00077,항구/포구
TEST_00078,계곡
TEST_00079,"야영장,오토캠핑장"
TEST_00080,콘도미니엄
TEST_00081,고궁
TEST_00082,서양식
TEST_00083,한식
TEST_00084,일반축제
TEST_00085,"야영장,오토캠핑장"
TEST_00086,문화관광축제
TEST_00087,바/까페
TEST_00088,농.산.어촌 체험
TEST_00089,특산물판매점
TEST_00090,강
TEST_00091,중식
TEST_00092,"야영장,오토캠핑장"
TEST_00093,한옥스테이
TEST_00094,서양식
TEST_00095,"야영장,오토캠핑장"
TEST_00096,농.산.어촌 체험
TEST_00097,승마
TEST_00098,수목원
TEST_00099,중식
TEST_00100,한식
TEST_00101,바/까페
TEST_00102,한식
TEST_00103,"야영장,오토캠핑장"
TEST_00104,박물관
TEST_00105,한식
TEST_00106,폭포
TEST_00107,바/까페
TEST_00108,한식
TEST_00109,다리/대교
TEST_00110,한식
TEST_00111,바/까페
TEST_00112,호수
TEST_00113,일식
TEST_00114,테마공원
TEST_00115,한식
TEST_00116,복합 레포츠
TEST_00117,전문상가
TEST_00118,전시관
TEST_00119,관광단지
TEST_00120,사찰
TEST_00121,"야영장,오토캠핑장"
TEST_00122,사찰
TEST_00123,일식
TEST_00124,섬
TEST_00125,박물관
TEST_00126,자동차경주
TEST_00127,일식
TEST_00128,특산물판매점
TEST_00129,한식
TEST_00130,골프
TEST_00131,유적지/사적지
TEST_00132,상설시장
TEST_00133,컨벤션
TEST_00134,"야영장,오토캠핑장"
TEST_00135,관광단지
TEST_00136,5일장
TEST_00137,해수욕장
TEST_00138,전시관
TEST_00139,해수욕장
TEST_00140,한식
TEST_00141,바/까페
TEST_00142,한식
TEST_00143,골프
TEST_00144,모텔
TEST_00145,유적지/사적지
TEST_00146,한식
TEST_00147,산
TEST_00148,공원
TEST_00149,테마공원
TEST_00150,박물관
TEST_00151,상설시장
TEST_00152,전시관
TEST_00153,한식
TEST_00154,계곡
TEST_00155,유명건물
TEST_00156,유적지/사적지
TEST_00157,일반축제
TEST_00158,공원
TEST_00159,중식
TEST_00160,다리/대교
TEST_00161,전문상가
TEST_00162,자연휴양림
TEST_00163,공원
TEST_00164,한옥스테이
TEST_00165,일반축제
TEST_00166,바/까페
TEST_00167,섬
TEST_00168,"야영장,오토캠핑장"
TEST_00169,고궁
TEST_00170,유적지/사적지
TEST_00171,섬
TEST_00172,"야영장,오토캠핑장"
TEST_00173,민속마을
TEST_00174,수련시설
TEST_00175,전문상가
TEST_00176,성
TEST_00177,한식
TEST_00178,한식
TEST_00179,사찰
TEST_00180,서양식
TEST_00181,기암괴석
TEST_00182,중식
TEST_00183,유명건물
TEST_00184,윈드서핑/제트스키
TEST_00185,중식
TEST_00186,한식
TEST_00187,사찰
TEST_00188,"야영장,오토캠핑장"
TEST_00189,일반축제
TEST_00190,사찰
TEST_00191,골프
TEST_00192,박물관
TEST_00193,"야영장,오토캠핑장"
TEST_00194,채식전문점
TEST_00195,일반축제
TEST_00196,한식
TEST_00197,"야영장,오토캠핑장"
TEST_00198,폭포
TEST_00199,미술관/화랑
TEST_00200,특산물판매점
TEST_00201,채식전문점
TEST_00202,유적지/사적지
TEST_00203,바/까페
TEST_00204,"야영장,오토캠핑장"
TEST_00205,일반축제
TEST_00206,승마
TEST_00207,수련시설
TEST_00208,약수터
TEST_00209,유원지
TEST_00210,테마공원
TEST_00211,박물관
TEST_00212,전문상가
TEST_00213,한식
TEST_00214,일식
TEST_00215,모텔
TEST_00216,바/까페
TEST_00217,일식
TEST_00218,컨벤션
TEST_00219,기념관
TEST_00220,중식
TEST_00221,사찰
TEST_00222,일식
TEST_00223,자연생태관광지
